"doc","id","chunk_index","chunk_type","page_num","content"
"阿里云文档解析（大模型版）介绍.pdf","6edfc5a6-1a46-4e86-a7ce-4111016a9a3f",1,"TEXT",2,"异步提交服务支持本地文件和url文件两种方式:  


·本地文件上传的异步提交服务接口为:SubmitDocParserJobAdvance接口。  


url文件上传的异步提交服务接口为:SubmitDocParserJob接口。  


## 重要  


异步处理的时长以实际测试为准,开通电子文档解析服务后我们会提供免费额度供您测试。  


FileName、FileNameExtension参数,服务会根据后缀配置解析器,若不确定文档类型,可配置无后缀的文件名后台进行默认路由配置,避免非预期解析结果产生。  


## 请求参数"
"阿里云文档解析（大模型版）介绍.pdf","8b7ddb6a-2cb6-471d-84fe-d68d98c88524",2,"TABLE",2,"<table>
 <tbody>
  <tr>
   <td>名称</td>
   <td>类型</td>
   <td>必填</td>
   <td>描述</td>
   <td>示例值</td>
   <td></td>
  </tr>
  <tr>
   <td>FileUrl</td>
   <td>string</td>
   <td>否</td>
   <td>以文档url上传方式调用接口时使用。单个文档(支持1.5万页及以内且150MB以内的PDF、Word等文档, 支持20MB以内的单张图片)。</td>
   <td>https://example.com/example.pdf</td>
   <td></td>
  </tr>
  <tr>
   <td>FileUrlObject</td>
   <td>stream</td>
   <td>否</td>
   <td>以本地文件上传方式调用接口时使用。单个文档(支持1.5万页及以内且150MB以内的PDF、Word等文档, 支持20MB以内的单张图片)。</td>
   <td>本地文件生成的FileInputStream</td>
   <td></td>
  </tr>
  <tr>
   <td>FileName</td>
   <td>string</td>
   <td>否</td>
   <td>文件名需带文件类型后缀,与FileNameExtension二选一。</td>
   <td colspan=""2"">example.pdf</td>
  </tr>
  <tr>
   <td>FileNameExtension</td>
   <td>string</td>
   <td>否</td>
   <td>文件类型,与FileName二选一。</td>
   <td colspan=""2"">pdf</td>
  </tr>
  <tr>
   <td>FormulaEnhancement</td>
   <td>bool</td>
   <td>否</td>
   <td>开启公式识别增强选项,默认为False。</td>
   <td colspan=""2"">True</td>
  </tr>
  <tr>
   <td>LlmEnhancement</td>
   <td>bool</td>
   <td>否</td>
   <td>开启大模型增强选项,默认为False。注意:若开启,接口响应时间可能会显著增加,请按需开启。开启后,以下2种情况会返回大模型解析结果:-对于PPT文件(包括PPT类型的PDF文件),当解析置信度 (layoutConf)小于等于0.8。-文件中的图表(chart)部分。目前支持3种图表,分别为:标值图、估值图、其它图。</td>
   <td colspan=""2"">False</td>
  </tr>
  <tr>
   <td>EnhancementMode</td>
   <td>string</td>
   <td>否</td>
   <td>大模型增强模式,默认为空(关闭)。仅当设置LlmEnhancement=true时,此参数才生效。目前支持以下选项:-VLM:使用多模态大模型做版面分析和OCR。可以提升解析效果,包括:版面顺序、类型、坐标更准确;文字内容更准确;多语言效果更好。注意:若开启,接口响应时间可能会显著增加,同时每页费用会增加,请按需开启。</td>
   <td colspan=""2"">VLM</td>
  </tr>
  <tr>
   <td>Option</td>
   <td>string</td>
   <td>否</td>
   <td>音视频文件解析支持配置选项,默认为Base。 base:基本识别功能,默认值。advance: 加强识别功能,在base结果基础上增加返回剧情解析结果。</td>
   <td colspan=""2"">Base</td>
  </tr>
  <tr>
   <td>OssBucket</td>
   <td>string</td>
   <td>否</td>
   <td>个人的oss bucket名称,具体可查看OSS托管支持</td>
   <td colspan=""2"">docmind-trust</td>
  </tr>
  <tr>
   <td>OssEndpoint</td>
   <td>string</td>
   <td>否</td>
   <td>个人的oss endpoint地址,具体可查看OSS托管支持</td>
   <td colspan=""2"">oss-cn-
    <br>
    hangzhou.aliyuncs.com</td>
  </tr>
  <tr>
   <td>PageIndex</td>
   <td>string</td>
   <td>否</td>
   <td>文件解析的页数。注:必须为1-n的格式。</td>
   <td colspan=""2"">1-5</td>
  </tr>
  <tr>
   <td rowspan=""2"">OutputHtmlTable</td>
   <td rowspan=""2"">bool</td>
   <td rowspan=""2"">否</td>
   <td>是否返回HTML格式的表格内容,默认为False。开启后,对 于表格类型的版面块,会返回此表格的HTML格式解析内容,存放在此版面块的请注</td>
   <td colspan=""2"" rowspan=""2"">false</td>
  </tr>
  <tr>
   <td>**llmResult**字段中。&gt;!意:若开启此参数,需同步开启LImEnhancement参数,接口响应时间也可能会增加,请按需开启。</td>
  </tr>
  <tr>
   <td>EnableEventCallback</td>
   <td>bool</td>
   <td>否</td>
   <td>是否开启事件回调,默认为False 。具体可查看事件总线支持。</td>
   <td>false</td>
   <td></td>
  </tr>
  <tr>
   <td>OutputFormat</td>
   <td>List</td>
   <td>否</td>
   <td>解析结果输出格式。</td>
   <td>markdown</td>
   <td></td>
  </tr>
  <tr>
   <td>MultimediaParameters</td>
   <td>object</td>
   <td>否</td>
   <td>当文件类型为音视频时,可通过本字段设置可选功能。开启此参数后将忽略Option入参。</td>
   <td></td>
   <td></td>
  </tr>
  <tr>
   <td>- VlParsePrompt</td>
   <td>string</td>
   <td>否</td>
   <td>帧解析prompt(0725已支持)</td>
   <td>##限制:-不要输出过长的句子,忠实于原 图、捕捉关键信息即可。##限制:-不要输出过长的句子,忠实于原图、捕捉关键信息即可。</td>
   <td></td>
  </tr>
 </tbody>
</table>"
"阿里云文档解析（大模型版）介绍.pdf","d5a914f9-c64d-46d9-9244-c87644941ab6",3,"TEXT",3,"### 说明  


·PageIndex参数只支持pdf、word、ppt三种格式的文件解析使用。  


·OutputFormat参数支持的类型如下:  


markdown:状态查询服务中会返回文档的markdown结果。  


visualLayoutInfo: QueryDocParserStatus状态查询服务中会返回文档页Page图片信息, GetDocParserResult结果查询服务中会返回layout的坐标信息。  


#### ·VLM增强链路开启后支持33种语种:  


o中文、日语、韩语、印尼语、越南语、泰语、英语、法语、德语、俄语、葡萄牙语、西班牙语、意大利语、瑞典语、丹麦语、捷克语、挪威语、荷兰语、芬兰语、土耳其语、波兰语、斯瓦希里语、罗马尼亚语、塞尔维亚语、希腊语、哈萨克语、乌兹别克语、宿务语、阿拉伯语、乌尔都语、波斯语、印地语/天城语、希伯来语。  


## 返回参数"
"阿里云文档解析（大模型版）介绍.pdf","a62b2517-a4c4-47ac-9eb4-f8fcf7ccf64d",4,"TABLE",3,"<table>
 <tbody>
  <tr>
   <td>名称</td>
   <td>类型</td>
   <td>描述</td>
   <td>示例值</td>
  </tr>
  <tr>
   <td>RequestId</td>
   <td>string</td>
   <td>请求唯一ID。</td>
   <td>43A29C77-405E-4DC0-BC55-EE694AD0</td>
  </tr>
  <tr>
   <td>Data</td>
   <td>object</td>
   <td>返回数据。</td>
   <td>{""Id"":""docmind-20240712-b15f""}</td>
  </tr>
  <tr>
   <td>Id</td>
   <td>string</td>
   <td>业务订单号,用于后续查询接口进行查询的唯一标识。</td>
   <td>doc-mind-20220712-b15f</td>
  </tr>
  <tr>
   <td>Code</td>
   <td>string</td>
   <td>状态码。</td>
   <td>200</td>
  </tr>
  <tr>
   <td>Message</td>
   <td>string</td>
   <td>状态详细信息。</td>
   <td>Message</td>
  </tr>
 </tbody>
</table>"
"阿里云文档解析（大模型版）介绍.pdf","5ce4a173-dca1-48cf-9a7d-4bd67bc4773c",5,"TEXT",3,"## 使用示例  


本接口支持本地文件上传和url文件上传这两种调用方式。  


·本地文件上传:以Java SDK为例, 本地文件上传调用方式的请求示例代码如下,调用PDF转Word异步提交服务用SubmitDocParserJobAdvance接口,通过fileUrlObject参数实现本地文档上传。  


说明:获取并使用AccessKey信息的方式,可参考SDK概述中不同语言的SDK使用指南。  


U url文件上传:以Java SDK为例, 传入文档url调用方式的请求示例代码如下,调用SubmitDocParserJob接口, 通过fileUrl参数实现传入文档url。请注意,您传入的文档url必须为公网可访问下载的url地址,无跨域限制,url不带特殊转义字符。  


说明:获取并使用AccessKey信息的方式,可参考SDK概述中不同语言的SDK使用指南。"
"阿里云文档解析（大模型版）介绍.pdf","e1d42939-684f-4a97-bd65-e7366c2f720b",6,"TEXT",4,"## 返回结果  


## 步骤二:调用文档解析(大模型版)状态查询服务QueryDocParserStatus接口  


调用查询接口的入参ID就是前面异步任务提交接口返回的出参ID, 查询结果有Status状态和NumberOfSuccessfulParsing已处理的模块数, Status状态有处理中、处理成功、处理失败三种情况。"
"阿里云文档解析（大模型版）介绍.pdf","521dea40-9a6a-4197-a9d6-62fe064080f7",7,"TABLE",4,"<table>
 <tbody>
  <tr>
   <td>名称</td>
   <td>类型</td>
   <td>必填</td>
   <td>描述</td>
   <td>示例值</td>
  </tr>
  <tr>
   <td>Id</td>
   <td>string</td>
   <td>是</td>
   <td>需要查询的业务订单号,订单号从提交接口的返回结果中获取。</td>
   <td>docmind-20220712-b15f</td>
  </tr>
 </tbody>
</table>"
"阿里云文档解析（大模型版）介绍.pdf","a485e6d8-50c9-4107-ba7b-faf53c6efa03",8,"TABLE",4,"<table>
 <tbody>
  <tr>
   <td>名称</td>
   <td>类型</td>
   <td>描述</td>
   <td>示例值</td>
  </tr>
  <tr>
   <td>RequestId</td>
   <td>string</td>
   <td>请求唯一ID。</td>
   <td>43A29C77-405E-4CC0-BC55-EE694AD0</td>
  </tr>
  <tr>
   <td>Data</td>
   <td>string</td>
   <td>返回数据。</td>
   <td>-</td>
  </tr>
  <tr>
   <td>Status</td>
   <td>string</td>
   <td>任务处理完成的状态。Success表示处理成功,Fail表示处理失败。</td>
   <td>success</td>
  </tr>
  <tr>
   <td>NumberOfSuccessfulParsing</td>
   <td>integer</td>
   <td>已处理的模块数。</td>
   <td>166</td>
  </tr>
  <tr>
   <td>Tokens</td>
   <td>long</td>
   <td>英文单词数,或中文字数。</td>
   <td>4429</td>
  </tr>
  <tr>
   <td>ParagraphCount</td>
   <td>integer</td>
   <td>段落数量。</td>
   <td>91</td>
  </tr>
  <tr>
   <td>TableCount</td>
   <td>integer</td>
   <td>表格数量。当上传的文档中存在表格时,该参数会返回对应表格数量,否则不返回该参数。</td>
   <td>2</td>
  </tr>
  <tr>
   <td>ImageCount</td>
   <td>integer</td>
   <td>图片数量。当上传的文档中存在图片时,该参数会返回对应图片数量,否则不返回该参数。</td>
   <td>0</td>
  </tr>
  <tr>
   <td>PageCountEstimate</td>
   <td>integer</td>
   <td>当前处理的页码(页码从0开始)。</td>
   <td>3</td>
  </tr>
  <tr>
   <td>Processing</td>
   <td>float</td>
   <td>文件处理进度百分比</td>
   <td>100.0</td>
  </tr>
  <tr>
   <td>OutputFormatResult</td>
   <td>array</td>
   <td>获取指定格式的返回结果, 仅当设置OutputFormat参数后生效。查看outputFormatResult属性详情</td>
   <td></td>
  </tr>
  <tr>
   <td>Code</td>
   <td>string</td>
   <td>状态码。</td>
   <td>200</td>
  </tr>
  <tr>
   <td>Message</td>
   <td>string</td>
   <td>详细信息。</td>
   <td>Message</td>
  </tr>
 </tbody>
</table>"
"阿里云文档解析（大模型版）介绍.pdf","52b02e6f-9c9d-4ea7-89a3-34a9c5e2cc49",9,"TEXT",4,"说明  


订单状态Status类型:  


1Init:订单处于待处理队列中。"
"阿里云文档解析（大模型版）介绍.pdf","aff63b4a-bb3a-4965-a909-eea0a1ea13c5",10,"TEXT",5,"F Processing: 正在解析处理。  


S success:文件处理成功,此时NumberOfSuccessfulParsing将不再变化。  


F Fail:文件处理失败。  


## 使用示例  


以Java SDK为例, 调用文档解析接口的结果查询类API示例代码如下: 调用接口,通过传入ID参数查询流水号。  


说明:获取并使用AccessKey信息的方式,请参见SDK概述中不同语言的SDK使用指南。  


### 返回示例:  


处理失败的返回示例:  


步骤三:调用文档解析(大模型版)结果获取服务GetDocParserResult接口  


请求参数  


示例值"
